University ID,Program,Specialisations (comma sep),Fee Range,Duration,Avg Salary,Entry Roles (comma sep),Top Companies (comma sep),Internship / Project Type,Career Outcome (1 sentence)
vignans-foundati-for-science,BCA,Data Science,₹150K – ₹150K,3 Years,₹3L – ₹9L per annum,"Data Analyst Trainee,Python Developer Trainee,ML Analyst Trainee,Cloud Support Trainee","foundit,Google Cloud,AWS,HDFC Bank,ICICI Bank,Amazon,Accenture",Industry project and virtual internship,"UGC DEB approved BCA from Vignan's Foundation for Science, Te — recognised for corporate hiring."
manonman-sundaran-universi,MBA,"Financial Management,Entrepreneurship,Marketing Management,Human Resource Management,Production and Logistics Management",₹80K – ₹80K,2 Years,Not Mentioned (Focus on self-employment/startups),"Management Trainee,Business Analyst,Operations Executive","TCS,Infosys,Wipro,HDFC Bank",Industry project and virtual internship,UGC DEB approved MBA from Manonmaniam Sundaranar University ( — recognised for corporate hiring.
manonman-sundaran-universi,BBA,General Management,₹45K – ₹45K,3 Years,₹4L – ₹12L per annum,"Management Trainee,Business Analyst,Operations Executive","TCS,Infosys,Wipro,HDFC Bank",Industry project and virtual internship,UGC DEB approved BBA from Manonmaniam Sundaranar University ( — recognised for corporate hiring.
manonman-sundaran-universi,B.Com,General Commerce,₹45K – ₹45K,3 Years,₹2.5 LPA - ₹6 LPA,"Management Trainee,Business Analyst,Operations Executive","TCS,Infosys,Wipro,HDFC Bank",Industry project and virtual internship,UGC DEB approved B.Com from Manonmaniam Sundaranar University ( — recognised for corporate hiring.
manonman-sundaran-universi,BA,English Literature,₹45K – ₹45K,3 Years,₹4L – ₹12L per annum,"Management Trainee,Business Analyst,Operations Executive","TCS,Infosys,Wipro,HDFC Bank",Industry project and virtual internship,UGC DEB approved BA from Manonmaniam Sundaranar University ( — recognised for corporate hiring.
manonman-sundaran-universi,M.Com,Accounting and Finance,₹40K – ₹40K,2 Years,₹3 LPA - ₹7 LPA,"Accounts Officer,Audit Assistant,Tax Associate","TCS,Infosys,Wipro,HDFC Bank",Industry project and virtual internship,UGC DEB approved M.Com from Manonmaniam Sundaranar University ( — recognised for corporate hiring.
nmims,MBA,"Marketing Management,Business Management,Financial Management,Human Resource Management,Operations & Data Sciences Management",₹60K – ₹200K,2 Years (4-year max validity),₹5L – ₹10L per annum,"Management Trainee,Business Analyst,Operations Analyst","Helix Tech,Tata,ShopX,HSBC,Mindteck,RBS,Teleperformance",Industry project and virtual internship,UGC DEB approved MBA from NMIMS (Narsee Monjee Institute of M — recognised for corporate hiring.
nmims,BBA,"Marketing,Finance,Business Analytics (student's choice)",₹60K – ₹200K,3 Years (6-year max validity),₹3L – ₹6L per annum,"Sales Executive,Marketing Trainee,Business Analyst Trainee","Helix Tech,Wockhardt,Bajaj Electricals,Michelin",Industry project and virtual internship,UGC DEB approved BBA from NMIMS (Narsee Monjee Institute of M — recognised for corporate hiring.
nmims,B.Com,"Commerce,Accountancy,Finance",₹60K – ₹200K,3 Years (6-year max validity),₹3L – ₹6L per annum,"Accounts Executive,Accounts Process Executive,Junior Financial Analyst","Milkbasket,Mindteck,Lakeshore,Bajaj Electricals,Essel,Michelin",Industry project and virtual internship,UGC DEB approved B.Com from NMIMS (Narsee Monjee Institute of M — recognised for corporate hiring.
mahe-manipal,MBA,"Healthcare Management,Pharmaceutical Management,Business Analytics,Data Science,Finance,Marketing,Operations Management,Human Resource Management,Logistics & Supply Chain Management",₹68K – ₹275K,2 Years (4 Semesters),₹5L – ₹18L per annum,"Management Trainee,Business Analyst,Marketing Manager,Financial Analyst,HR Business Partner,Operations Manager","Infosys,TCS,Wipro,HCL,Cognizant,Accenture,IBM,Amazon,Microsoft,HDFC Bank",Industry project and virtual internship,UGC DEB approved MBA from Manipal Academy of Higher Education — recognised for corporate hiring.
mahe-manipal,MCA,General Management,₹60K – ₹240K,2 Years (4 Semesters),₹6L – ₹22L per annum,"Software Engineer,ML Engineer,Data Scientist,Cloud Architect,Cyber Security Analyst","Infosys,TCS,Wipro,HCL,Cognizant,Accenture,IBM,Amazon,Microsoft,HDFC Bank",Industry project and virtual internship,UGC DEB approved MCA from Manipal Academy of Higher Education — recognised for corporate hiring.
mahe-manipal,BBA,General Management,₹168K – ₹224K,3 Years (Hons) / 4 Years (Hons with Research),₹4L – ₹14L per annum,"Business Development,Marketing Executive,HR Trainee,Finance Analyst,Startup Founder","TCS,Infosys,Wipro,HCL,Cognizant,Accenture,IBM,HDFC Bank,ICICI Bank,Axis Bank",Industry project and virtual internship,UGC DEB approved BBA from Manipal Academy of Higher Education — recognised for corporate hiring.
mahe-manipal,B.Com,General Management,₹0.3L – ₹1.7L,3 Years,₹4L – ₹15L per annum,"Trainee Accountant,Tax Assistant,Audit Junior,Finance Executive","TCS,Infosys,Wipro,HCL,Cognizant,Accenture,IBM,HDFC Bank,ICICI Bank,Axis Bank",Industry project and virtual internship,UGC DEB approved B.Com from Manipal Academy of Higher Education — recognised for corporate hiring.
mahe-manipal,MSc,General Management,₹60K – ₹240K,2 Years (4 Semesters),₹8L – ₹30L per annum,"Data Scientist,ML Engineer,AI Research Engineer,BI Analyst,Deep Learning Specialist","Infosys,TCS,Wipro,HCL,Cognizant,Accenture,IBM,Amazon,Microsoft,HDFC Bank",Industry project and virtual internship,UGC DEB approved MSc from Manipal Academy of Higher Education — recognised for corporate hiring.
koneru-lakshmai-educatio-found,MBA,"Finance,Marketing,Human Resource Management,Logistics & SCM,Data Science,Digital Marketing,Entrepreneurship",₹65K – ₹85K,2 Yrs,₹5L – ₹12L per annum,"Financial Analyst,Investment Analyst,Credit Analyst,Risk Analyst","Google,Microsoft,IBM,Accenture,Infosys,Wipro,Capgemini,Deloitte,Amazon,TCS",Industry project and virtual internship,UGC DEB approved MBA from Koneru Lakshmaiah Education Foundat — recognised for corporate hiring.
koneru-lakshmai-educatio-found,MCA,"Cloud Computing,Data Science,Cyber Security,Artificial Intelligence",₹65K – ₹65K,2 Yrs,₹5.5L – ₹12L per annum,"Software Engineer,System Analyst,Database Administrator,Data Scientist,Security Consultant","Google,Microsoft,IBM,Accenture,Infosys,Wipro,Capgemini",Industry project and virtual internship,UGC DEB approved MCA from Koneru Lakshmaiah Education Foundat — recognised for corporate hiring.
koneru-lakshmai-educatio-found,BBA,"Marketing,Finance,Human Resource Management",₹79K – ₹79K,3 Yrs,₹3.5L – ₹6L per annum,"Financial Analyst,Operations Analyst,HR Executive,Business Development Officer,Supply Chain Associate","Deloitte,Amazon,Google,Microsoft,TCS,Infosys,Accenture",Industry project and virtual internship,UGC DEB approved BBA from Koneru Lakshmaiah Education Foundat — recognised for corporate hiring.
koneru-lakshmai-educatio-found,BCA,"Cloud Technology & Information Security,Data Science,Artificial Intelligence,IoT (Internet of Things)",₹79K – ₹79K,3 Yrs,₹4L – ₹7.5L per annum,"Technical Analyst,Software Developer,Web Developer,Blockchain Developer,System Analyst","Google,Microsoft,Amazon,IBM,Deloitte,TCS,Infosys",Industry project and virtual internship,UGC DEB approved BCA from Koneru Lakshmaiah Education Foundat — recognised for corporate hiring.
chandigarh,MBA,"Human Resource Management,International Business,Entrepreneurship,Finance,Information Technology,Banking & Insurance,Logistics & Supply Chain Management,Hospital Management,Event Management,Travel & Tourism Management,Airlines & Airport Management,Operations Management,Digital Marketing",₹0.4L – ₹2.2L,2 Years (4 Semesters),₹5L – ₹22L per annum,"Marketing Manager (₹7–20 LPA),Business Analyst (₹6–18 LPA),Financial Analyst (₹5–15 LPA),HR Manager (₹6–18 LPA),Operations Manager (₹7–22 LPA),Project Manager (₹8–22 LPA)","Amazon,Microsoft,TCS,Infosys,Wipro,Cognizant,HCL,Accenture,Flipkart,HDFC Bank",Industry project and virtual internship,UGC DEB approved MBA from Chandigarh University (CU Online) — — recognised for corporate hiring.
chandigarh,MCA,"Artificial Intelligence,Cloud Computing,Data Analytics,Full-Stack Development",₹0.3L – ₹1.6L,2 Years (4 Semesters),₹4L – ₹20L per annum,"Software Engineer (₹5–20 LPA),Cybersecurity Specialist (₹5–15 LPA),App Developer (₹4–10 LPA),Data Analyst/Scientist (₹6–18 LPA),Cloud Engineer","Amazon,Microsoft,TCS,Infosys,Wipro,Cognizant,HCL,Accenture,Flipkart,HDFC Bank",Industry project and virtual internship,UGC DEB approved MCA from Chandigarh University (CU Online) — — recognised for corporate hiring.
chandigarh,BBA,Business Analytics specialization with data-focuse,₹0.3L – ₹1.9L,3 Years,₹4L – ₹12L per annum,"Business Analyst,Data Analyst,Machine Learning Engineer,Statistician,BI Developer,Market Research Analyst","Amazon,Microsoft,TCS,Infosys,Wipro,Cognizant,HCL,Accenture,Flipkart,HDFC Bank",Industry project and virtual internship,UGC DEB approved BBA from Chandigarh University (CU Online) — — recognised for corporate hiring.
chandigarh,BCA,General Management,₹60K – ₹200K,3 Years,₹4L – ₹12L per annum,"Management Trainee,Business Analyst,Operations Executive","TCS,Infosys,Wipro,HDFC Bank",Industry project and virtual internship,UGC DEB approved BCA from Chandigarh University (CU Online) — — recognised for corporate hiring.
chandigarh,MSc,Data Science focus; no sub-specializations; 80 cre,₹0.3L – ₹1.5L,2 Years (4 Semesters),₹6L – ₹20L per annum,"Data Scientist (₹11.57 LPA avg),Data Analyst (₹6.36 LPA avg),BI Manager (₹8–20 LPA),Market Research Analyst (₹4.5–12 LPA),Financial Analyst (₹6–18 LPA),Supply Chain Analyst (₹6–16 LPA)","Amazon,Microsoft,TCS,Infosys,Wipro,Cognizant,HCL,Accenture,Flipkart,HDFC Bank",Industry project and virtual internship,UGC DEB approved MSc from Chandigarh University (CU Online) — — recognised for corporate hiring.
visveswa-technolo-universi,MBA,"Digital Marketing,Human Resource Management, Marketing Management, F,Business Analytics",₹141K – ₹141K,2 Years,₹4L – ₹12L per annum,"Management Trainee,Business Analyst,Operations Executive","TCS,Infosys,Wipro,HDFC Bank",Industry project and virtual internship,UGC DEB approved MBA from Visvesvaraya Technological Universi — recognised for corporate hiring.
visveswa-technolo-universi,MCA,"General (IT & Software Development),Artificial Intelligence & Data Science,Cyber Security & Cloud Computing",₹127K – ₹141K,2 Years,₹4L – ₹12L per annum,"Management Trainee,Business Analyst,Operations Executive","TCS,Infosys,Wipro,HDFC Bank",Industry project and virtual internship,UGC DEB approved MCA from Visvesvaraya Technological Universi — recognised for corporate hiring.
visveswa-technolo-universi,BBA,Digital Marketing,₹77K – ₹77K,3 Years,₹4L – ₹12L per annum,"Management Trainee,Business Analyst,Operations Executive","TCS,Infosys,Wipro,HDFC Bank",Industry project and virtual internship,UGC DEB approved BBA from Visvesvaraya Technological Universi — recognised for corporate hiring.
visveswa-technolo-universi,BCA,"Data Analytics,Data Science",₹101K – ₹101K,3 Years,₹4L – ₹12L per annum,"Management Trainee,Business Analyst,Operations Executive","TCS,Infosys,Wipro,HDFC Bank",Industry project and virtual internship,UGC DEB approved BCA from Visvesvaraya Technological Universi — recognised for corporate hiring.
integral-universi,MBA,"Marketing, Finance, Human Resource Management,",₹20K – ₹80K,2 Years,₹4L – ₹12L per annum,"Management Trainee,Business Analyst,Operations Executive","TCS,Infosys,Wipro,HDFC Bank",Industry project and virtual internship,UGC DEB approved MBA from Integral University (Integral Onlin — recognised for corporate hiring.
integral-universi,MCA,Computer Science,₹15K – ₹60K,2 Years,₹4L – ₹12L per annum,"Management Trainee,Business Analyst,Operations Executive","TCS,Infosys,Wipro,HDFC Bank",Industry project and virtual internship,UGC DEB approved MCA from Integral University (Integral Onlin — recognised for corporate hiring.
integral-universi,BCA,General Management,₹0.1L – ₹0.6L,3 Years,₹4L – ₹12L per annum,"Management Trainee,Business Analyst,Operations Executive","TCS,Infosys,Wipro,HDFC Bank",Industry project and virtual internship,UGC DEB approved BCA from Integral University (Integral Onlin — recognised for corporate hiring.
integral-universi,B.Com,General Management,₹36K – ₹36K,3 Years,₹4L – ₹12L per annum,"Management Trainee,Business Analyst,Operations Executive","TCS,Infosys,Wipro,HDFC Bank",Industry project and virtual internship,UGC DEB approved B.Com from Integral University (Integral Onlin — recognised for corporate hiring.
integral-universi,BA,"English, Urdu, Hindi, History, Political Science,",₹36K – ₹36K,3 Years,₹4L – ₹12L per annum,"Management Trainee,Business Analyst,Operations Executive","TCS,Infosys,Wipro,HDFC Bank",Industry project and virtual internship,UGC DEB approved BA from Integral University (Integral Onlin — recognised for corporate hiring.
integral-universi,M.Com,Accounting & Finance,₹30K – ₹30K,2 Years,₹4L – ₹12L per annum,"Management Trainee,Business Analyst,Operations Executive","TCS,Infosys,Wipro,HDFC Bank",Industry project and virtual internship,UGC DEB approved M.Com from Integral University (Integral Onlin — recognised for corporate hiring.
integral-universi,MSc,Mathematics,₹30K – ₹30K,2 Years,₹4L – ₹12L per annum,"Management Trainee,Business Analyst,Operations Executive","TCS,Infosys,Wipro,HDFC Bank",Industry project and virtual internship,UGC DEB approved MSc from Integral University (Integral Onlin — recognised for corporate hiring.
manav-rachna-internat-institut,MBA,"Marketing, Finance, Human Resource Management,",₹160K – ₹160K,2 Years,₹4L – ₹12L per annum,"Management Trainee,Business Analyst,Operations Executive","TCS,Infosys,Wipro,HDFC Bank",Industry project and virtual internship,UGC DEB approved MBA from Manav Rachna Centre for Distance an — recognised for corporate hiring.
manav-rachna-internat-institut,MCA,"Artificial Intelligence and Data Science, Cyber Se",₹140K – ₹140K,2 Years,₹4L – ₹12L per annum,"Management Trainee,Business Analyst,Operations Executive","TCS,Infosys,Wipro,HDFC Bank",Industry project and virtual internship,UGC DEB approved MCA from Manav Rachna Centre for Distance an — recognised for corporate hiring.
manav-rachna-internat-institut,BBA,"General, Banking and Financial Services, Digital",₹180K – ₹180K,3 Years,₹4L – ₹12L per annum,"Management Trainee,Business Analyst,Operations Executive","TCS,Infosys,Wipro,HDFC Bank",Industry project and virtual internship,UGC DEB approved BBA from Manav Rachna Centre for Distance an — recognised for corporate hiring.
manav-rachna-internat-institut,BCA,"Cyber Security, Data Science and Big Data Analytic",₹150K – ₹150K,3 Years,₹4L – ₹12L per annum,"Management Trainee,Business Analyst,Operations Executive","TCS,Infosys,Wipro,HDFC Bank",Industry project and virtual internship,UGC DEB approved BCA from Manav Rachna Centre for Distance an — recognised for corporate hiring.
manav-rachna-internat-institut,B.Com,"General, ACCA (Integrated)",₹120K – ₹240K,3 Years,₹4L – ₹12L per annum,"Management Trainee,Business Analyst,Operations Executive","TCS,Infosys,Wipro,HDFC Bank",Industry project and virtual internship,UGC DEB approved B.Com from Manav Rachna Centre for Distance an — recognised for corporate hiring.
manav-rachna-internat-institut,BA,"Economics, English",₹120K – ₹120K,3 Years,₹4L – ₹12L per annum,"Management Trainee,Business Analyst,Operations Executive","TCS,Infosys,Wipro,HDFC Bank",Industry project and virtual internship,UGC DEB approved BA from Manav Rachna Centre for Distance an — recognised for corporate hiring.
manav-rachna-internat-institut,M.Com,General Management,₹100K – ₹100K,2 Years,₹4L – ₹12L per annum,"Management Trainee,Business Analyst,Operations Executive","TCS,Infosys,Wipro,HDFC Bank",Industry project and virtual internship,UGC DEB approved M.Com from Manav Rachna Centre for Distance an — recognised for corporate hiring.
karnatak-state-open-universi,MBA,"Finance,Marketing,Human Resource Management,Operations Management",₹80K – ₹80K,2 Years,₹4L – ₹12L per annum,"Management Trainee,Business Analyst,Operations Executive","TCS,Infosys,Wipro,HDFC Bank",Industry project and virtual internship,UGC DEB approved MBA from Karnataka State Open University (KS — recognised for corporate hiring.
karnatak-state-open-universi,MCA,Computer Science and IT,₹29K – ₹29K,2 Years,₹4L – ₹12L per annum,"Management Trainee,Business Analyst,Operations Executive","TCS,Infosys,Wipro,HDFC Bank",Industry project and virtual internship,UGC DEB approved MCA from Karnataka State Open University (KS — recognised for corporate hiring.
karnatak-state-open-universi,BBA,"General Management,Marketing,Finance,Human Resource Management,Supply",₹39K – ₹39K,3 Years,₹4L – ₹12L per annum,"Management Trainee,Business Analyst,Operations Executive","TCS,Infosys,Wipro,HDFC Bank",Industry project and virtual internship,UGC DEB approved BBA from Karnataka State Open University (KS — recognised for corporate hiring.
karnatak-state-open-universi,BCA,Computer Applications,₹52K – ₹52K,3 Years,₹4L – ₹12L per annum,"Management Trainee,Business Analyst,Operations Executive","TCS,Infosys,Wipro,HDFC Bank",Industry project and virtual internship,UGC DEB approved BCA from Karnataka State Open University (KS — recognised for corporate hiring.
karnatak-state-open-universi,B.Com,General Management,₹0.1L – ₹0.7L,3 Years,₹4L – ₹12L per annum,"Management Trainee,Business Analyst,Operations Executive","TCS,Infosys,Wipro,HDFC Bank",Industry project and virtual internship,UGC DEB approved B.Com from Karnataka State Open University (KS — recognised for corporate hiring.
karnatak-state-open-universi,BA,"History, Economics, Political Science, Sociology,",₹10K – ₹30K,3 Years,₹4L – ₹12L per annum,"Management Trainee,Business Analyst,Operations Executive","TCS,Infosys,Wipro,HDFC Bank",Industry project and virtual internship,UGC DEB approved BA from Karnataka State Open University (KS — recognised for corporate hiring.
karnatak-state-open-universi,M.Com,"Accounting and Finance, Marketing Management and H",₹40K – ₹40K,2 Years,₹4L – ₹12L per annum,"Management Trainee,Business Analyst,Operations Executive","TCS,Infosys,Wipro,HDFC Bank",Industry project and virtual internship,UGC DEB approved M.Com from Karnataka State Open University (KS — recognised for corporate hiring.
bharathidasan-uni,MBA,"Finance,Human Resource Management,Marketing,Operations Management,Systems",₹60K – ₹200K,2 Years,Not Mentioned,"Management Trainee,Business Analyst,Operations Executive","TCS,Infosys,Wipro,HDFC Bank",Industry project and virtual internship,UGC DEB approved MBA from Bharathidasan University (BDU Onlin — recognised for corporate hiring.
bharathidasan-uni,BBA,General (Multi-disciplinary),₹90K – ₹121K,3 Years (Maximum 6 years),Not Mentioned,"Business Analyst,Operations Associate,Marketing Executive,HR Assistant,Junior Accountant","TCS,Infosys,Wipro,HDFC Bank",Industry project and virtual internship,UGC DEB approved BBA from Bharathidasan University (BDU Onlin — recognised for corporate hiring.
bharathidasan-uni,BA,English,₹45K – ₹45K,3 Years,₹4L – ₹12L per annum,"Management Trainee,Business Analyst,Operations Executive","TCS,Infosys,Wipro,HDFC Bank",Industry project and virtual internship,UGC DEB approved BA from Bharathidasan University (BDU Onlin — recognised for corporate hiring.
hindusta-institut-of-technolo,MBA,Finance,₹120K – ₹120K,2 Years,₹4L – ₹12L per annum,"Management Trainee,Business Analyst,Operations Executive","TCS,Infosys,Wipro,HDFC Bank",Industry project and virtual internship,UGC DEB approved MBA from Hindustan Institute of Technology a — recognised for corporate hiring.
guru-ghasidas-vishwavi,MBA,"Marketing,Finance,Human Resource Management",₹147K – ₹147K,2 Years,₹4L – ₹12L per annum,"Management Trainee,Business Analyst,Operations Executive","TCS,Infosys,Wipro,HDFC Bank",Industry project and virtual internship,UGC DEB approved MBA from Guru Ghasidas Vishwavidyalaya (GGU) — recognised for corporate hiring.
guru-ghasidas-vishwavi,MCA,Computer Science and Information Technology,₹147K – ₹147K,2 Years,₹4L – ₹12L per annum,"Management Trainee,Business Analyst,Operations Executive","TCS,Infosys,Wipro,HDFC Bank",Industry project and virtual internship,UGC DEB approved MCA from Guru Ghasidas Vishwavidyalaya (GGU) — recognised for corporate hiring.
guru-ghasidas-vishwavi,BCA,Computer Science and IT,₹147K – ₹147K,3 Years,₹4L – ₹12L per annum,"Management Trainee,Business Analyst,Operations Executive","TCS,Infosys,Wipro,HDFC Bank",Industry project and virtual internship,UGC DEB approved BCA from Guru Ghasidas Vishwavidyalaya (GGU) — recognised for corporate hiring.
guru-ghasidas-vishwavi,B.Com,Commerce,₹81K – ₹81K,3 Years,₹4L – ₹12L per annum,"Management Trainee,Business Analyst,Operations Executive","TCS,Infosys,Wipro,HDFC Bank",Industry project and virtual internship,UGC DEB approved B.Com from Guru Ghasidas Vishwavidyalaya (GGU) — recognised for corporate hiring.
guru-ghasidas-vishwavi,M.Com,Commerce,₹147K – ₹147K,2 Years,₹4L – ₹12L per annum,"Management Trainee,Business Analyst,Operations Executive","TCS,Infosys,Wipro,HDFC Bank",Industry project and virtual internship,UGC DEB approved M.Com from Guru Ghasidas Vishwavidyalaya (GGU) — recognised for corporate hiring.
dr-babasahe-ambedkar-open,MBA,"Finance,Marketing",₹30K – ₹30K,2 Years,₹4L – ₹12L per annum,"Management Trainee,Business Analyst,Operations Executive","TCS,Infosys,Wipro,HDFC Bank",Industry project and virtual internship,UGC DEB approved MBA from Dr. Babasaheb Ambedkar Open Univers — recognised for corporate hiring.
dr-babasahe-ambedkar-open,MCA,General Management,₹50K – ₹50K,2 Years,₹4L – ₹12L per annum,"Management Trainee,Business Analyst,Operations Executive","TCS,Infosys,Wipro,HDFC Bank",Industry project and virtual internship,UGC DEB approved MCA from Dr. Babasaheb Ambedkar Open Univers — recognised for corporate hiring.
dr-babasahe-ambedkar-open,BCA,General Management,₹45K – ₹45K,3 Years,₹4L – ₹12L per annum,"Management Trainee,Business Analyst,Operations Executive","TCS,Infosys,Wipro,HDFC Bank",Industry project and virtual internship,UGC DEB approved BCA from Dr. Babasaheb Ambedkar Open Univers — recognised for corporate hiring.
dr-babasahe-ambedkar-open,B.Com,General Management,₹16K – ₹16K,3 Years,₹4L – ₹12L per annum,"Management Trainee,Business Analyst,Operations Executive","TCS,Infosys,Wipro,HDFC Bank",Industry project and virtual internship,UGC DEB approved B.Com from Dr. Babasaheb Ambedkar Open Univers — recognised for corporate hiring.
dr-babasahe-ambedkar-open,M.Com,"Accounting,Finance,BFSI",₹22K – ₹22K,2 Years,₹4L – ₹12L per annum,"Management Trainee,Business Analyst,Operations Executive","TCS,Infosys,Wipro,HDFC Bank",Industry project and virtual internship,UGC DEB approved M.Com from Dr. Babasaheb Ambedkar Open Univers — recognised for corporate hiring.
marwadi-universi,MBA,"Finance, Marketing, Human Resource Management,",₹30K – ₹120K,2 Years,₹4L – ₹12L per annum,"Management Trainee,Business Analyst,Operations Executive","TCS,Infosys,Wipro,HDFC Bank",Industry project and virtual internship,UGC DEB approved MBA from Marwadi University — recognised for corporate hiring.
marwadi-universi,MCA,"General, Software Engineering, Web and Mobile",₹25K – ₹100K,2 Years,₹4L – ₹12L per annum,"Management Trainee,Business Analyst,Operations Executive","TCS,Infosys,Wipro,HDFC Bank",Industry project and virtual internship,UGC DEB approved MCA from Marwadi University — recognised for corporate hiring.
marwadi-universi,BBA,"Marketing, Finance, Human Resource Management",₹0.2L – ₹1.2L,3 Years,₹4L – ₹12L per annum,"Management Trainee,Business Analyst,Operations Executive","TCS,Infosys,Wipro,HDFC Bank",Industry project and virtual internship,UGC DEB approved BBA from Marwadi University — recognised for corporate hiring.
marwadi-universi,BCA,Computer Applications,₹0.2L – ₹1.2L,3 Years,₹4L – ₹12L per annum,"Management Trainee,Business Analyst,Operations Executive","TCS,Infosys,Wipro,HDFC Bank",Industry project and virtual internship,UGC DEB approved BCA from Marwadi University — recognised for corporate hiring.
marwadi-universi,B.Com,Commerce,₹0.1L – ₹0.6L,3 Years,₹4L – ₹12L per annum,"Management Trainee,Business Analyst,Operations Executive","TCS,Infosys,Wipro,HDFC Bank",Industry project and virtual internship,UGC DEB approved B.Com from Marwadi University — recognised for corporate hiring.
marwadi-universi,MSc,Business Analytics,₹25K – ₹100K,2 Years,₹4L – ₹12L per annum,"Management Trainee,Business Analyst,Operations Executive","TCS,Infosys,Wipro,HDFC Bank",Industry project and virtual internship,UGC DEB approved MSc from Marwadi University — recognised for corporate hiring.
pp-savani-universi,MBA,"General, Hospital Administration, International",₹32K – ₹130K,2 Years,₹3.5 LPA -- ₹9 LPA,"Management Trainee,Operations Executive,Supply","TCS,Infosys,Wipro,HDFC Bank",Industry project and virtual internship,UGC DEB approved MBA from P P Savani University (CDOE) — recognised for corporate hiring.
pp-savani-universi,BBA,General Management,₹0.2L – ₹1.2L,3 Years,₹2.5 LPA -- ₹4.5 LPA,"Management Trainee,Sales Associate,HR Assistant.","TCS,Infosys,Wipro,HDFC Bank",Industry project and virtual internship,UGC DEB approved BBA from P P Savani University (CDOE) — recognised for corporate hiring.
pp-savani-universi,BCA,Computer Applications,₹0.2L – ₹1.5L,3 Years,₹3 LPA -- ₹6 LPA,"Junior Developer,Web Designer,IT Support.","TCS,Infosys,Wipro,HDFC Bank",Industry project and virtual internship,UGC DEB approved BCA from P P Savani University (CDOE) — recognised for corporate hiring.
pp-savani-universi,M.Com,General Management,₹25K – ₹100K,2 Years,₹3.5 LPA -- ₹6 LPA,"Senior Accountant,Audit Assistant,Finance Trainee.","TCS,Infosys,Wipro,HDFC Bank",Industry project and virtual internship,UGC DEB approved M.Com from P P Savani University (CDOE) — recognised for corporate hiring.
pp-savani-universi,MSc,Data Science,₹32K – ₹130K,2 Years,₹4.5 LPA -- ₹10 LPA,"Data Analyst,Junior Data Scientist,Business","TCS,Infosys,Wipro,HDFC Bank",Industry project and virtual internship,UGC DEB approved MSc from P P Savani University (CDOE) — recognised for corporate hiring.
universi-of-mysore,MBA,"Logistics & Supply Chain Management,Operations Management,Human Resource Management,Finance,Marketing Management,Project Management",₹160K – ₹160K,2 Years,₹4L – ₹12L per annum,"Management Trainee,Business Analyst,Operations Executive","TCS,Infosys,Wipro,HDFC Bank",Industry project and virtual internship,UGC DEB approved MBA from University of Mysore (Online) — recognised for corporate hiring.
universi-of-mysore,MCA,General Management,₹100K – ₹100K,2 Years,₹4L – ₹12L per annum,"Management Trainee,Business Analyst,Operations Executive","TCS,Infosys,Wipro,HDFC Bank",Industry project and virtual internship,UGC DEB approved MCA from University of Mysore (Online) — recognised for corporate hiring.
universi-of-mysore,BBA,General Management,₹120K – ₹120K,3 Years,₹4L – ₹12L per annum,"Management Trainee,Business Analyst,Operations Executive","TCS,Infosys,Wipro,HDFC Bank",Industry project and virtual internship,UGC DEB approved BBA from University of Mysore (Online) — recognised for corporate hiring.
universi-of-mysore,BCA,General Management,₹120K – ₹120K,3 Years,₹4L – ₹12L per annum,"Management Trainee,Business Analyst,Operations Executive","TCS,Infosys,Wipro,HDFC Bank",Industry project and virtual internship,UGC DEB approved BCA from University of Mysore (Online) — recognised for corporate hiring.
universi-of-mysore,B.Com,General Management,₹84K – ₹84K,3 Years,₹4L – ₹12L per annum,"Management Trainee,Business Analyst,Operations Executive","TCS,Infosys,Wipro,HDFC Bank",Industry project and virtual internship,UGC DEB approved B.Com from University of Mysore (Online) — recognised for corporate hiring.
universi-of-mysore,M.Com,General Management,₹80K – ₹80K,2 Years,₹4L – ₹12L per annum,"Management Trainee,Business Analyst,Operations Executive","TCS,Infosys,Wipro,HDFC Bank",Industry project and virtual internship,UGC DEB approved M.Com from University of Mysore (Online) — recognised for corporate hiring.
aligarh-muslim-universi,MBA,General Management,₹28K – ₹40K,2 Years,₹4L – ₹8L per annum,"Management Trainee,Business Analyst,HR Executive,Finance Associate","Government PSUs,Public Sector Banks,Central Ministries,IT Firms",Project-based learning,"UGC DEB approved MBA from Aligarh Muslim University — Central University, UGC recognised."
aligarh-muslim-universi,B.Com,General Commerce,₹28K – ₹28K,3 Years,₹4L – ₹12L per annum,"Management Trainee,Business Analyst,Operations Executive","TCS,Infosys,Wipro,HDFC Bank",Industry project and virtual internship,UGC DEB approved B.Com from Aligarh Muslim University (Centre f — recognised for corporate hiring.
aligarh-muslim-universi,BA,"English,Economics,Political Science,History",₹28K – ₹28K,3 Years,₹4L – ₹12L per annum,"Management Trainee,Business Analyst,Operations Executive","TCS,Infosys,Wipro,HDFC Bank",Industry project and virtual internship,UGC DEB approved BA from Aligarh Muslim University (Centre f — recognised for corporate hiring.
aligarh-muslim-universi,M.Com,General Commerce,₹12K – ₹24K,2 Years,₹4L – ₹12L per annum,"Management Trainee,Business Analyst,Operations Executive","TCS,Infosys,Wipro,HDFC Bank",Industry project and virtual internship,UGC DEB approved M.Com from Aligarh Muslim University (Centre f — recognised for corporate hiring.
